0;0;0;0;0;0;0
1024;1024;1024;1024;1024;1024;1024
2029;2011;1970;1878;1660;1115;-141
1990;1937;1810;1530;895;-379;-1244
1949;1863;1644;1173;199;-1033;204
1907;1790;1475;821;-353;-915;262
1864;1718;1305;486;-722;-422;-84
1820;1646;1135;178;-904;49;-49
1775;1575;966;-96;-922;288;26
1729;1505;800;-331;-813;287;7
1682;1436;638;-523;-622;152;-7
1634;1368;481;-671;-395;6;0
1585;1301;331;-776;-172;-78;2
1535;1236;189;-840;19;-89;0
1485;1172;55;-866;161;-53;0
1435;1109;-71;-858;246;-8;0
1384;1047;-188;-821;277;21;0
1332;986;-295;-760;264;28;0
1280;926;-392;-680;219;18;0
1228;867;-479;-587;156;4;0
1176;810;-556;-486;88;-5;0
1124;754;-623;-381;25;-8;0
1071;699;-680;-276;-26;-6;0
1017;645;-727;-175;-61;-2;0
963;592;-765;-81;-79;1;0
909;541;-794;3;-82;2;0
856;491;-814;76;-73;2;0
804;442;-826;137;-57;1;0
752;395;-830;185;-38;0;0
700;349;-826;220;-18;0;0
648;304;-815;242;0;0;0
596;261;-798;253;13;0;0
544;219;-775;254;21;0;0
492;178;-746;246;24;0;0
441;138;-712;231;23;0;0
391;99;-674;210;20;0;0
341;62;-633;184;15;0;0
291;26;-590;155;9;0;0
242;-9;-545;124;3;0;0
194;-42;-498;92;-2;0;0
146;-74;-449;61;-5;0;0
99;-105;-399;32;-7;0;0
53;-135;-349;6;-8;0;0
7;-164;-300;-16;-7;0;0
-38;-191;-252;-35;-5;0;0
-82;-217;-205;-51;-3;0;0
-125;-242;-159;-63;-1;0;0
-167;-266;-114;-71;0;0;0
-208;-289;-71;-75;0;0;0
-248;-311;-31;-76;0;0;0
-287;-332;6;-74;0;0;0
-325;-352;41;-69;0;0;0
-362;-371;73;-63;0;0;0
-398;-389;102;-56;0;0;0
-433;-406;129;-48;0;0;0
-467;-422;153;-39;0;0;0
-500;-437;174;-29;0;0;0
-532;-451;192;-20;0;0;0
-563;-464;207;-12;0;0;0
-593;-476;219;-4;0;0;0
-622;-487;228;3;0;0;0
-650;-497;235;9;0;0;0
-677;-506;240;14;0;0;0
-702;-514;242;18;0;0;0
-726;-522;241;21;0;0;0
-749;-529;238;22;0;0;0
-771;-535;233;22;0;0;0
-792;-541;227;22;0;0;0
-812;-546;220;21;0;0;0
